(epoch#1) auroc: 0.704485536749922, lr: 0.0010000000474974513
(epoch#2) auroc: 0.7700995590161985, lr: 0.0010000000474974513
(epoch#3) auroc: 0.7806103300894458, lr: 0.0010000000474974513
(epoch#4) auroc: 0.7926534196211689, lr: 0.0010000000474974513
(epoch#5) auroc: 0.7943766740247387, lr: 0.00010000000474974513
(epoch#6) auroc: 0.8176245440239501, lr: 0.00010000000474974513
(epoch#7) auroc: 0.8182927508580294, lr: 0.00010000000474974513
(epoch#8) auroc: 0.8206033023650628, lr: 1.0000000656873453e-05
(epoch#9) auroc: 0.8213831727992683, lr: 1.0000000656873453e-05
(epoch#10) auroc: 0.8231525324806028, lr: 1.0000001111620804e-06
(epoch#17) auroc: 0.8233631231606223, lr: 9.99999993922529e-09
(epoch#20) auroc: 0.8234026191742302, lr: 9.99999993922529e-09
(epoch#29) auroc: 0.8236944830256182, lr: 9.99999993922529e-09
(epoch#39) auroc: 0.8237197555784033, lr: 9.99999993922529e-09
(epoch#56) auroc: 0.8238424405165795, lr: 9.99999993922529e-09
